estrategia,R
DIDI_pivo_TRIX,1.3433
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.8377
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.4818
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.0
DIDI_pivo_TRIX,2.6999
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.8433
DIDI_pivo_TRIX,2.0273
DIDI_pivo_TRIX,1.9457
DIDI_pivo_TRIX,2.0071
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,3.1539
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.6333
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.9847
DIDI_pivo_TRIX,1.9196
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,3.6945
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.7531
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.3667
DIDI_pivo_TRIX,0.6571
DIDI_pivo_ADX,0.4105
DIDI_pivo_ADX,0.654
DIDI_pivo_ADX,-0.1785
DIDI_pivo_ADX,-0.2083
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,0.4664
DIDI_pivo_ADX,-0.3247
DIDI_pivo_ADX,-0.5366
DIDI_pivo_ADX,-0.1064
DIDI_pivo_ADX,1.4378
DIDI_pivo_ADX,-0.1322
DIDI_pivo_ADX,-0.2078
DIDI_pivo_ADX,-0.3991
DIDI_pivo_ADX,0.1435
DIDI_pivo_ADX,0.3259
DIDI_pivo_ADX,-0.2741
DIDI_pivo_ADX,0.4816
DIDI_pivo_ADX,0.315
DIDI_pivo_ADX,0.4347
DIDI_pivo_ADX,-0.2687
DIDI_pivo_ADX,0.4176
DIDI_pivo_ADX,0.6269
DIDI_pivo_ADX,0.3268
DIDI_pivo_ADX,0.3107
DIDI_pivo_ADX,-0.3642
DIDI_pivo_ADX,-0.2735
DIDI_pivo_ADX,-0.4223
DIDI_pivo_ADX,-0.7335
DIDI_pivo_ADX,-0.4946
DIDI_pivo_ADX,-0.2628
DIDI_pivo_ADX,1.8682
DIDI_pivo_ADX,0.0788
DIDI_pivo_ADX,0.9306
DIDI_pivo_ADX,1.1087
DIDI_pivo_ADX,-0.6913
DIDI_pivo_ADX,-0.0928
DIDI_pivo_ADX,-0.1578
DIDI_pivo_ADX,0.022
DIDI_pivo_ADX,0.5763
DIDI_pivo_ADX,0.2476
DIDI_pivo_ADX,0.3398
DIDI_pivo_ADX,0.5524
DIDI_pivo_ADX,0.1463
DIDI_pivo_ADX,0.2188
DIDI_pivo_ADX,-0.1168
DIDI_pivo_ADX,-0.455
DIDI_pivo_ADX,-0.4837
DIDI_pivo_ADX,0.2184
DIDI_pivo_ADX,-0.3325
DIDI_pivo_ADX,-0.1152
DIDI_pivo_ADX,-0.0707
DIDI_pivo_ADX,0.9823
DIDI_pivo_ADX,-0.2774
DIDI_pivo_ADX,-0.7065
DIDI_pivo_ADX,-0.4007
DIDI_pivo_ADX,-0.0086
DIDI_pivo_ADX,0.0206
DIDI_pivo_ADX,-0.8618
DIDI_pivo_ADX,-0.3365
DIDI_pivo_ADX,0.0608
DIDI_pivo_ADX,0.5336
DIDI_pivo_ADX,-0.0542
DIDI_pivo_ADX,0.3057
DIDI_pivo_ADX,-0.23
DIDI_pivo_ADX,0.5824
DIDI_pivo_ADX,-0.0402
DIDI_pivo_ADX,0.4368
DIDI_pivo_ADX,-0.2078
DIDI_pivo_ADX,0.0536
DIDI_pivo_ADX,-0.3068
DIDI_pivo_ADX,0.4509
DIDI_pivo_ADX,0.2071
DIDI_pivo_ADX,1.7553
DIDI_pivo_ADX,0.0188
DIDI_pivo_ADX,-0.0551
DIDI_pivo_ADX,0.0141
IB_1R,1.0
IB_1R,-1.0
IB_1R,1.0
IB_1R,1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,-1.0
IB_1R,-1.0
IB_1R,-1.0
IB_1R,-0.4204
IB_1R,1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,-1.0
IB_2R,1.0203
IB_2R,-1.0
IB_2R,2.0
IB_2R,2.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-1.0
IB_2R,-0.4204
IB_2R,-1.0
IB_2R,1.8242
IB_2R,-1.0
IB_2R,-1.0
IB_3R,1.0203
IB_3R,-1.0
IB_3R,3.0
IB_3R,1.9693
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-1.0
IB_3R,-0.4204
IB_3R,-1.0
IB_3R,1.8242
IB_3R,-1.0
IB_3R,-1.0
IB_parc2R,1.0203
IB_parc2R,-1.0
IB_parc2R,2.5
IB_parc2R,1.9847
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-1.0
IB_parc2R,-0.4204
IB_parc2R,-1.0
IB_parc2R,1.8242
IB_parc2R,-1.0
IB_parc2R,-1.0
DIDI_pivo_TRIX,1.146
DIDI_pivo_TRIX,2.371
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.0204
DIDI_pivo_TRIX,2.1597
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.875
DIDI_pivo_TRIX,1.7745
DIDI_pivo_TRIX,1.6299
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.6875
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.903
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.6092
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.5714
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-0.4999
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.946
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,1.1125
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,-1.0
DIDI_pivo_TRIX,2.5851
DIDI_pivo_TRIX,1.7406
DIDI_pivo_TRIX,-0.4234
DIDI_pivo_ADX,-0.2118
DIDI_pivo_ADX,0.4037
DIDI_pivo_ADX,0.9388
DIDI_pivo_ADX,0.172
DIDI_pivo_ADX,-0.0588
DIDI_pivo_ADX,0.1206
DIDI_pivo_ADX,0.25
DIDI_pivo_ADX,-0.1053
DIDI_pivo_ADX,-0.1669
DIDI_pivo_ADX,0.4334
DIDI_pivo_ADX,-0.324
DIDI_pivo_ADX,1.5139
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-0.1652
DIDI_pivo_ADX,-0.3333
DIDI_pivo_ADX,0.0
DIDI_pivo_ADX,-0.24
DIDI_pivo_ADX,-0.0686
DIDI_pivo_ADX,0.0365
DIDI_pivo_ADX,-0.2483
DIDI_pivo_ADX,-0.1064
DIDI_pivo_ADX,0.4085
DIDI_pivo_ADX,-0.0449
DIDI_pivo_ADX,1.0148
DIDI_pivo_ADX,0.2451
DIDI_pivo_ADX,-0.8519
DIDI_pivo_ADX,-0.3839
DIDI_pivo_ADX,0.0943
DIDI_pivo_ADX,-0.6933
DIDI_pivo_ADX,0.3039
DIDI_pivo_ADX,-0.6705
DIDI_pivo_ADX,0.1562
DIDI_pivo_ADX,2.1343
DIDI_pivo_ADX,-0.3007
DIDI_pivo_ADX,0.4213
DIDI_pivo_ADX,-0.4653
DIDI_pivo_ADX,-0.0133
DIDI_pivo_ADX,-0.3561
DIDI_pivo_ADX,-0.4023
DIDI_pivo_ADX,0.3684
DIDI_pivo_ADX,-0.7788
DIDI_pivo_ADX,-0.3519
DIDI_pivo_ADX,-0.1746
DIDI_pivo_ADX,0.0
DIDI_pivo_ADX,-0.2826
DIDI_pivo_ADX,0.5246
DIDI_pivo_ADX,-0.1567
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,0.1188
DIDI_pivo_ADX,-0.2525
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,0.9375
DIDI_pivo_ADX,0.2973
DIDI_pivo_ADX,0.43
DIDI_pivo_ADX,-0.4878
DIDI_pivo_ADX,0.4651
DIDI_pivo_ADX,0.5789
DIDI_pivo_ADX,0.3803
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,0.2556
DIDI_pivo_ADX,-0.1944
DIDI_pivo_ADX,-0.6
DIDI_pivo_ADX,-1.0
DIDI_pivo_ADX,-0.4318
DIDI_pivo_ADX,-0.0723
DIDI_pivo_ADX,0.1489
DIDI_pivo_ADX,0.9011
DIDI_pivo_ADX,0.18
DIDI_pivo_ADX,-0.0552
DIDI_pivo_ADX,0.6512
DIDI_pivo_ADX,-0.1416
DIDI_pivo_ADX,-0.1222
DIDI_pivo_ADX,-0.2576
DIDI_pivo_ADX,-0.6073
DIDI_pivo_ADX,-0.0198
IB_1R,-0.3213
IB_1R,1.0
IB_1R,1.0
IB_1R,0.4247
IB_1R,-1.0
IB_1R,-0.1475
IB_1R,1.0
IB_1R,1.0
IB_1R,-1.0
IB_1R,-1.0
IB_1R,-1.0
