ticker,entrada_data,entry,stop,alvo,saida_data,R
PETR4.SA,2018-10-26,6.95,6.31,8.86,2018-11-09,-1.0
PETR4.SA,2020-05-08,4.99,4.13,7.58,2020-08-03,1.04
PETR4.SA,2020-12-23,7.55,7.13,8.8,2021-02-22,-1.0
PETR4.SA,2021-05-07,6.8,6.39,8.06,2021-06-09,3.0
PETR4.SA,2021-06-16,8.13,7.16,11.06,2021-09-09,-1.0
PETR4.SA,2021-06-30,8.21,7.71,9.71,2021-07-07,-1.0
PETR4.SA,2023-06-06,16.81,15.51,20.73,2023-08-23,3.0
PETR4.SA,2023-08-23,21.38,18.98,28.56,2023-11-21,1.14
PETR4.SA,2023-09-18,22.63,21.9,24.82,2023-10-04,-1.0
PETR4.SA,2024-05-07,30.06,26.62,40.38,2024-06-13,-1.0
PETR4.SA,2026-02-23,36.28,34.35,42.1,2026-03-11,3.0
PETR4.SA,2026-04-29,46.68,42.19,60.17,2026-05-22,-1.0
PFE,2017-07-03,20.99,19.65,24.99,2017-09-27,0.92
PFE,2017-08-31,21.25,20.25,24.26,2017-11-27,1.18
PFE,2017-10-02,22.6,22.05,24.25,2017-10-30,-1.0
PFE,2017-11-16,22.48,21.95,24.09,2018-01-26,3.0
PFE,2017-11-21,22.47,21.95,24.04,2018-01-26,3.0
PFE,2018-07-17,24.26,23.2,27.45,2018-08-20,3.0
PFE,2018-08-24,27.55,26.35,31.18,2018-11-19,1.14
PFE,2018-09-05,27.2,26.35,29.75,2018-10-09,3.0
PFE,2018-09-07,27.42,26.7,29.59,2018-10-09,3.0
PFE,2018-10-03,29.12,26.7,36.37,2018-12-24,-1.0
PFE,2019-03-29,28.06,27.53,29.64,2019-04-12,-1.0
PFE,2020-05-11,26.4,25.63,28.71,2020-05-13,-1.0
PFE,2020-11-27,27.74,26.05,32.81,2021-02-02,-1.0
