date,open,high,low,close,volume,div,split
2016-09-12,135.80753445525647,139.59691011371524,135.17326276746186,139.1008758544922,2647900,,
2016-09-13,137.05168446507807,138.21452417101398,135.29524646286745,135.79940795898438,2788200,,
2016-09-14,135.7994541879112,136.49878121477954,134.65288096804647,135.11639404296875,1995900,,
2016-09-15,134.80739411113015,137.2306385401922,134.79112722814423,136.6776885986328,1645200,,
2016-09-16,136.49065250668014,136.65328410019993,134.6691463984709,134.9862823486328,4534900,,
2016-09-19,136.0759328376734,136.86470912457102,134.72606698504498,135.1570587158203,2030700,,
2016-09-20,136.35238304419596,136.84029016268926,135.30339886982685,135.3684539794922,1532900,,
2016-09-21,136.14101909135834,136.84034629714594,134.92939044179656,135.82388305664062,2333600,,
2016-09-22,136.97847181026768,137.6940653170474,136.36859436462268,136.62881469726562,2467700,,
2016-09-23,136.4093106978773,136.69392525120435,134.2137534841897,134.27880859375,3421200,,
2016-09-26,133.22166957192383,133.3355128986623,130.92039651686096,131.3107147216797,2772200,,
2016-09-27,130.69271284077203,132.91266396674203,129.96086463906528,132.45729064941406,2602700,,
2016-09-28,132.8232094784819,133.18913356481167,131.47334404998458,132.91265869140625,1678100,,
2016-09-29,132.85578456923113,133.3274248924863,128.29389810670645,129.25343322753906,3733800,,
2016-09-30,130.06666899631082,132.06707465486673,128.3183567123874,131.1400604248047,4497200,,
2016-10-03,130.51379728121302,131.5058657672048,130.3105047620834,130.97731018066406,2444700,,
2016-10-04,131.11560621578576,133.4819227661683,131.10746657026797,131.9531707763672,2469900,,
2016-10-05,132.80698498508863,135.44978857218797,132.5548917586806,135.31153869628906,2548200,,
2016-10-06,135.94579609233736,136.03524531592888,134.02672621890687,135.92140197753906,2858000,,
2016-10-07,136.20606494405786,138.22272440152753,135.18147453434293,138.1007537841797,3390200,,
2016-10-10,138.6618160996203,139.66201218865407,138.32028603038913,139.08465576171875,2532000,,
2016-10-11,138.1088057686255,138.94636997269455,136.53939344325045,137.45826721191406,2680000,,
2016-10-12,137.45832177886186,138.23084360112026,136.8565836116238,137.6697540283203,2404000,,
2016-10-13,136.28736833975282,136.31176245988937,134.58783271959828,136.1409912109375,2713700,,
2016-10-14,139.53998355328648,140.63775566033755,137.5151856907846,138.66175842285156,5282300,,
2016-10-17,138.64552131065955,139.27166584888116,136.97851989248122,137.42576599121094,3061400,,
2016-10-18,139.87341996662974,141.06065407374277,139.1334444177245,140.37759399414062,4482500,,
2016-10-19,140.97931276776006,142.85773393334657,140.8248084453971,141.9063262939453,3676000,,
2016-10-20,141.49161396128093,142.94718315113602,141.32898240384347,141.9063262939453,2471100,,
2016-10-21,140.54835012550708,142.2234789397713,140.28000244050446,142.0364532470703,2004400,,
2016-10-24,142.71133706624155,142.9471509101404,141.77619651589796,142.40232849121094,1943200,,
2016-10-25,142.33728946623043,143.08541688053043,142.01202638800603,142.75201416015625,2423300,,
2016-10-26,142.13405809535618,144.66301870184057,141.43473100908727,143.98809814453125,2533800,,
2016-10-27,144.89879723284628,145.43549253279932,143.58146550386368,144.54100036621094,3021900,,
2016-10-28,145.1589914696544,145.1589914696544,142.67883256737431,144.04495239257812,2042800,,
2016-10-31,144.48405220391388,145.15085761771306,144.11812815370263,144.93943786621094,1828200,,
2016-11-01,145.55748816985366,145.70385287251113,143.61401158949215,144.79310607910156,2900600,,
2016-11-02,143.98804218478762,144.33769938803252,143.17487204739027,143.58958435058594,2104800,,
2016-11-03,143.74411544193097,144.71991730700432,143.2887420654297,143.2887420654297,1972700,,
2016-11-04,143.38628969220272,144.2075870519309,142.08521252844363,143.05288696289062,1846500,,
2016-11-07,145.55746853757518,147.59039407580948,145.55746853757518,147.57412719726562,3338800,,
2016-11-08,146.46007926629622,148.54992014321058,145.1183534540199,147.93191528320312,2646200,,
2016-11-09,150.4364981543385,157.38096671772976,149.17608176928454,156.6409912109375,7823800,,
2016-11-10,158.1859956850207,166.43154089533482,157.75501647800368,163.34149169921875,11345400,,
2016-11-11,161.21099587128327,166.69989484798523,161.21099587128327,165.8379364013672,6290200,,
2016-11-14,166.00867794678396,172.20504280730935,166.00867794678396,170.0989227294922,8248100,,
2016-11-15,167.96844668597308,171.74155619078914,166.8381405224698,171.73342895507812,4893800,,
2016-11-16,168.61085228615852,169.2044630802868,166.56165983071062,167.7244873046875,5276200,,
2016-11-17,167.72448223571027,170.5136624946631,167.24471479205124,170.46487426757812,3572400,,
2016-11-18,170.66002337992336,172.449007719864,170.53805281492393,171.05035400390625,4278200,,
2016-11-21,171.95296003396857,172.13998568841782,170.09892073424234,171.64395141601562,2860200,,
2016-11-22,171.87167331018256,172.3514408042558,170.6763119890212,171.6683807373047,2945700,,
2016-11-23,171.98551435581044,173.53867256975542,170.25345768748468,172.64418029785156,3717400,,
2016-11-25,171.87162680109114,173.00193270410742,171.57888507904426,171.8878936767578,1974000,,
2016-11-28,170.76573947491775,172.1969145388779,170.4404763629244,171.05035400390625,3297400,,
2016-11-29,171.28690765994142,173.67687561923645,171.22980333228156,172.72251892089844,2577600,0.65,
2016-11-30,175.53663085909366,180.08003389542824,175.34902548875576,178.872802734375,6507900,,
2016-12-01,180.21055332901886,185.29231571670726,179.73746364189444,184.86000061035156,7606500,,
2016-12-02,184.3461419672648,184.5500646906799,180.4471404912842,182.19271850585938,5297400,,
2016-12-05,183.95459010869405,186.95632623609535,183.7261976836289,186.42613220214844,4599300,,
2016-12-06,187.7556583824709,189.786732479356,185.89588478989333,188.7344970703125,5259300,,
2016-12-07,187.93518167535365,192.57646496913418,187.93518167535365,192.14414978027344,6595200,,
2016-12-08,193.22083179224703,197.73975313978588,192.50301993842513,196.9485321044922,7343700,,
2016-12-09,196.2633497909317,197.39715942364742,194.85220829328188,197.27481079101562,5456000,,
2016-12-12,196.17361853979236,198.07417941464615,192.8048118768055,193.45736694335938,5022000,,
2016-12-13,194.9501272674461,195.91263656584866,192.10336151407196,194.58306884765625,4680500,,
2016-12-14,192.23385601020377,198.31075019169472,191.98914627242505,195.7086944580078,6172400,,
2016-12-15,197.79687751591905,200.3092068124892,197.08721801706824,198.21287536621094,4829700,,
2016-12-16,198.0497629282129,198.36788189728705,194.46071532058951,194.86856079101562,6876400,,
2016-12-19,194.41175412551303,195.5537287829374,192.7151156646047,195.00721740722656,3743300,,
2016-12-20,196.18992109921956,198.7430244023565,195.95336383772096,198.28623962402344,4487700,,
2016-12-21,197.59295433376045,197.72345540936456,195.83105912533264,196.94039916992188,3277800,,
2016-12-22,196.7691106263606,198.09869076476883,195.39875590046802,195.8636932373047,2636500,,
2016-12-23,195.390562556787,197.31559328157346,194.87668583267836,196.5570068359375,2187500,,
2016-12-27,197.3563573925001,197.87839892946053,196.09203435013353,197.03823852539062,1998200,,
2016-12-28,198.7756970421319,199.4364046119905,196.1247018888028,196.29598999023438,3053000,,
2016-12-29,196.3775661359425,196.63859317426338,193.02507634704082,194.28123474121094,2619000,,
2016-12-30,194.5504026093724,196.1736317352229,193.6449853496594,195.31715393066406,2355500,,
2017-01-03,197.9681239750341,199.8197452889406,194.10991057427117,197.04640197753906,4384200,,
2017-01-04,196.94040439719143,198.47390720594674,195.7902772906249,198.3189239501953,2728700,,
2017-01-05,197.98446085660407,198.400458660526,193.13925578518774,196.84249877929688,3562600,,
2017-01-06,197.63368119288722,200.82303460670224,196.88324729195162,199.76263427734375,3591100,,
2017-01-09,198.41675705154387,199.59135361709426,196.96482864314183,198.12310791015625,3022800,,
2017-01-10,196.47537666971925,198.5717073348324,194.9908263569365,197.862060546875,3432900,,
2017-01-11,198.02526476600912,200.5294291227555,197.39717934671694,200.46417236328125,3532600,,
2017-01-12,199.8931692034977,200.227605391454,197.04641650869414,198.8980255126953,4022300,,
2017-01-13,200.19497648621496,202.10370231661338,198.13944474032925,199.27325439453125,4186100,,
2017-01-17,198.16391016373913,198.26178906957375,192.18489555209854,192.2909393310547,6277200,,
2017-01-18,192.50299076572628,193.88150993679443,188.84870018873923,191.108154296875,7590500,,
2017-01-19,190.928743104949,191.48340685017482,188.1146000119691,188.75900268554688,4561800,,
2017-01-20,188.93026401917183,190.24352646109034,188.04931662523413,189.4033660888672,5211800,,
2017-01-23,189.12605093075666,190.66770589446233,188.22063373325,189.78675842285156,3136200,,
2017-01-24,189.12610566962672,192.55200519759342,188.2940974089992,190.61065673828125,4448200,,
2017-01-25,192.11963971044958,193.58788553719654,191.27132681413633,193.5226287841797,3716800,,
2017-01-26,193.702049063003,196.41013540081778,193.702049063003,195.42315673828125,4195600,,
2017-01-27,193.23715181215908,194.10994697078002,192.51118747445898,193.27793884277344,3253100,,
2017-01-30,192.16043657065447,192.73957005783004,188.84873397590425,190.79006958007812,3803300,,
2017-01-31,189.93361741094128,191.15715367312094,186.10802537309343,187.05422973632812,5156400,,
2017-02-01,188.02488199254887,189.94176035281532,187.21735606556953,188.1553955078125,4024500,,
2017-02-02,186.39352393124545,189.50946915780315,185.20262218181068,187.94334411621094,2775700,,
2017-02-03,191.29582418780583,196.671223974115,191.03479713801337,196.54071044921875,7381000,,
2017-02-06,195.43949668120888,198.74303405875338,195.08874320808485,195.74945068359375,4639200,,
2017-02-07,196.7038470920336,196.9404044128693,195.2682356505335,195.45584106445312,2660200,,
2017-02-08,194.37914962996425,194.90119132333567,192.75592021088542,193.91419982910156,2744700,,
2017-02-09,193.91419094790666,198.44943028506933,193.6613287645437,197.03013610839844,3550800,,
2017-02-10,198.51469117894393,199.15909396264937,196.76911314351426,197.9844970703125,3072800,,
2017-02-13,199.42824413063673,201.86715160747357,199.42824413063673,200.8801727294922,2998200,,
2017-02-14,200.66809546489264,203.92270633878314,200.4070808729352,203.48223876953125,4141500,,
2017-02-15,204.39576325791265,205.51325545837145,202.70727764895963,204.36312866210938,4296600,,
2017-02-16,204.16745237398175,204.5589805547536,202.65026667122726,203.46595764160156,2286300,,
2017-02-17,201.89160987755463,204.3794691152301,201.56533856126563,204.23265075683594,3262300,,
2017-02-21,204.73838637089975,206.0842711832027,204.50184152045662,205.35830688476562,2794900,,
2017-02-22,203.97162970977672,205.83956852253135,203.9226902555479,205.33383178710938,2378800,,
2017-02-23,204.9912199618336,205.47247446922347,203.36800349683182,204.89334106445312,2594700,,
2017-02-24,202.04662324874153,203.00914493434522,200.74152534244863,201.76113891601562,3565400,,
2017-02-27,201.64694478846724,203.72694654298843,201.1575252894888,203.37620544433594,2372600,,
2017-02-28,202.82001222868377,203.63783485863814,200.86541664225214,202.86907958984375,3627100,0.65,
2017-03-01,207.4898657953399,208.66752035906083,205.48618958793207,206.6720428466797,5218300,,
2017-03-02,207.33443559803467,207.92326900056153,205.2489850040008,205.3225860595703,3020000,,
2017-03-03,205.32262689560065,208.3403955639999,205.32262689560065,206.81924438476562,3163700,,
2017-03-06,206.23037246426136,206.6883512322609,204.86460989576784,206.09951782226562,2467000,,
2017-03-07,206.49207436455393,206.9091594821426,204.70921424832332,205.1917266845703,2497300,,
2017-03-08,207.4162100575788,208.35671374463283,204.13674519292843,204.6519775390625,3574400,,
2017-03-09,205.45344798680298,206.69654215611405,204.06315170113203,204.6029052734375,3061500,,
2017-03-10,205.96050419789304,206.00957157240978,201.89592362226924,203.13084411621094,3365900,,
2017-03-13,203.8996205948181,203.8996205948181,202.17401369899426,202.95094299316406,1801100,,
2017-03-14,201.84682750949437,202.68101019447047,200.7018806704955,202.59104919433594,2144200,,
2017-03-15,203.10631455469667,204.68470670231795,200.82458176142669,201.82232666015625,3427000,,
2017-03-16,202.6973942860743,204.61927045751673,202.25576296772704,202.99998474121094,2940600,,
2017-03-17,204.19400530386716,204.19400530386716,199.43428275685474,199.4997100830078,5438100,,
2017-03-20,198.99265583107731,200.3093385999121,197.52057224982025,198.02761840820312,2759100,,
2017-03-21,198.98451828668016,198.98451828668016,190.38101656651205,190.55276489257812,5660900,,
2017-03-22,189.0969726171173,190.4872687622336,187.41225979005995,188.97430419921875,6291300,,
2017-03-23,188.7126306225415,191.88578740808364,188.05836981906032,189.6531219482422,4770700,,
2017-03-24,190.55270798909592,191.1251814400472,185.6212376175682,186.7989044189453,6387300,,
2017-03-27,182.619831748672,185.70302716523906,180.6161684062714,184.40267944335938,9194800,,
2017-03-28,184.48449463561445,187.89481469317644,184.09194313058958,187.55133056640625,4471200,,
2017-03-29,187.6003900256567,188.0747287937415,186.07106523266717,186.83163452148438,2636000,,
2017-03-30,187.67401416046445,189.73493156642337,187.59223934976848,189.09703063964844,3156800,,
2017-03-31,188.53270430021118,188.7535199681469,187.06062064561738,187.87026977539062,2858400,,
2017-04-03,188.09923317522956,188.18102044211707,184.47628436963677,187.2487030029297,3735600,,
2017-04-04,186.23457714893595,188.6635114476557,185.8747331818688,187.4940185546875,3042700,,
2017-04-05,189.8575944830939,190.46278796373232,185.89933436602217,186.18557739257812,5286900,,
2017-04-06,185.71938686503603,188.19738908691957,184.59079982471388,186.9870147705078,2927200,,
2017-04-07,185.31865107340406,187.14239241936946,185.01604815234404,186.36546325683594,2853300,,
2017-04-10,186.46357506582265,187.9274722038759,185.60485873748587,187.19143676757812,2653900,,
2017-04-11,186.28365346214332,187.60852224183333,184.32905770982975,186.25094604492188,3374700,,
2017-04-12,186.1773784177384,186.66807714992453,184.19824849483211,184.62351989746094,2947500,,
