date,open,high,low,close,volume,div,split
2016-09-12,12.57289119287465,12.57289119287465,12.345568159830208,12.406026840209961,970500,,
2016-09-13,12.418117119200883,12.696224808467788,12.379423899542507,12.52452278137207,623400,,
2016-09-14,12.488249273853018,12.575308332239073,12.403607677001766,12.47857666015625,681000,,
2016-09-15,12.575306975676346,12.766355605255365,12.393932342529297,12.393932342529297,1059000,,
2016-09-16,12.45197600523937,12.938058789351047,12.297203102083632,12.604330062866211,2677800,,
2016-09-19,12.751846623134673,13.146035380822637,12.708317094129287,13.010607719421387,1225500,,
2016-09-20,13.000933954749993,13.731268804642594,13.000933954749993,13.49427318572998,1862700,,
2016-09-21,13.477344926410984,13.707086792763924,13.020281422732367,13.554731369018555,2012700,,
2016-09-22,13.549896991427385,13.832841039522304,13.324992783551396,13.441072463989258,1038300,,
2016-09-23,13.443487536085444,13.740941806686413,13.409630626183072,13.581331253051758,1011000,,
2016-09-26,13.532970021929897,14.021471693311424,13.506368253954601,13.665977478027344,1410600,,
2016-09-27,13.685322589489711,13.9271559366629,13.518458230316282,13.743362426757812,694500,,
2016-09-28,13.748201168918772,13.96585022937141,13.736108324423421,13.849770545959473,480000,,
2016-09-29,13.89813218595215,14.207677914775626,13.786888843711573,14.0263032913208,996000,,
2016-09-30,14.02872548125258,14.18349838256836,13.900554345322814,14.18349838256836,1370100,,
2016-10-03,14.14721952019963,14.321338979010212,13.748195933397689,14.040812492370605,997200,,
2016-10-04,14.103693224687317,14.23186434929825,13.948918953260817,14.212517738342285,622500,,
2016-10-05,14.369707517446523,14.766313718199717,14.304412535088064,14.708273887634277,987600,,
2016-10-06,14.75180511933757,15.114554448235689,14.575268145828712,15.027495384216309,968400,,
2016-10-07,15.042005720450678,15.269327379068711,15.027495415157949,15.124228477478027,834600,,
2016-10-10,15.257237705074381,15.320113851294568,14.945273051954443,15.061352729797363,504900,,
2016-10-11,15.107298367633582,15.131481283518573,14.715528488159181,14.71552848815918,736800,,
