date,open,high,low,close,volume,div,split
2016-09-12,23.63395521934198,24.21441334430915,23.126052472826164,24.108875274658203,6149700,,
2016-09-13,23.7790707995066,24.075897435518527,23.396496203489463,23.838436126708984,4716900,,
2016-09-14,23.805455605330224,24.161647563409286,23.389898320904653,23.79226303100586,4066300,,
2016-09-15,23.83184109185705,24.1682429351058,23.76587821930003,24.042917251586914,4246900,,
2016-09-16,24.616780621926104,24.616780621926104,23.81864872860442,24.009937286376953,8966600,,
2016-09-19,24.35226513940376,24.499936810787943,23.828705665286904,24.130760192871094,4950100,0.63,
2016-09-20,24.278428217718883,24.305278076868376,23.714596538840503,23.848840713500977,2624600,,
2016-09-21,23.76157641626853,24.647601056552443,23.76157641626853,24.62746238708496,3641100,,
2016-09-22,24.674452769078446,24.902671433103656,24.405961879988567,24.432811737060547,2585400,,
2016-09-23,24.27842587684365,24.734863196202312,24.27842587684365,24.47308349609375,2497600,,
2016-09-26,24.412664775020488,25.117456640326655,24.28513183804549,24.96978759765625,5411700,,
2016-09-27,24.848968820819913,25.862526377473053,24.835543895233037,25.7886905670166,6853000,,
2016-09-28,25.983347227165712,26.20485465069169,25.271844120054116,25.64773178100586,4971500,,
2016-09-29,25.587328676041597,26.084040813982263,25.110755212161063,25.36582374572754,4046500,,
2016-09-30,25.466498613959462,26.07731861110383,25.466498613959462,25.87594985961914,3840000,,
2016-10-03,25.88266618056965,26.399514315875667,25.641022630500046,25.781980514526367,3671000,,
2016-10-04,25.916231975766735,26.171300498860028,25.540341655447317,25.667877197265625,3593600,,
2016-10-05,25.768557946568603,26.117598377440256,25.526914374384916,25.869243621826172,2679700,,
2016-10-06,25.64773662941403,25.714861267660726,25.151027109104135,25.37924575805664,4165300,,
2016-10-07,25.459793199875186,25.674586924860634,25.2248633633421,25.43294334411621,3340100,,
2016-10-10,25.600747050932462,25.88266537070679,25.278556514435213,25.48663902282715,4466600,,
2016-10-11,25.65444372574266,25.65444372574266,23.378971569950878,23.56020164489746,14457900,,
2016-10-12,23.83540858841966,24.16431286235158,23.593767610652037,23.647464752197266,5153100,,
2016-10-13,23.331988507967704,23.84883668688555,22.539938281134653,23.613906860351562,7302300,,
2016-10-14,23.73472965894342,24.17102829264061,23.47294996661647,23.600482940673828,5413500,,
2016-10-17,23.64745795470389,23.875676501890524,23.258145468645505,23.499786376953125,4548300,,
2016-10-18,23.721296310424805,23.909240112959623,23.372255991044234,23.721296310424805,5505100,,
2016-10-19,23.459524045078513,23.694453871692172,22.51308843415295,23.03664779663086,10115000,,
2016-10-20,23.15075827862388,23.681028821740416,23.090347386301357,23.479660034179688,5159200,,
2016-10-21,23.358835653609855,23.49308235057886,22.909112163387878,23.157466888427734,4484100,,
2016-10-24,23.291718325960055,23.37226533631808,23.150760417697683,23.170896530151367,2949600,,
2016-10-25,23.51993230395581,23.51993230395581,22.922537188426084,23.003084182739258,4172300,,
2016-10-26,22.929249614295408,23.56020579828784,22.888974834683708,23.38568687438965,5638800,,
2016-10-27,23.728010519809455,24.016640002274684,22.962807728359348,22.982946395874023,6846000,,
2016-10-28,22.96952280934309,23.358835409894244,22.841987296308936,22.922536849975586,3142900,,
2016-10-31,23.083631071893265,23.25815254607668,23.003084077947026,23.02993392944336,3121400,,
2016-11-01,23.070211584931982,23.244733100258728,22.19090050574351,22.627199172973633,4147100,,
2016-11-02,22.600346653204102,22.721168438647716,21.895554611811736,21.915693283081055,5446200,,
2016-11-03,21.90897577082815,22.33856312938672,21.781442823925644,22.20431900024414,3855900,,
2016-11-04,22.123773466613123,22.600346869000614,22.016376607475898,22.150623321533203,3641400,,
2016-11-07,22.52651575727922,23.35884085484097,22.466104858218824,23.25815773010254,4564600,,
2016-11-08,23.11048586477887,23.338704530208968,22.727884361049487,23.150760650634766,2676800,,
2016-11-09,22.419120911181228,23.707883460053562,21.86871158586572,23.331993103027344,6167000,,
2016-11-10,23.493078755098743,24.587185711216637,23.43937906031246,24.278417587280273,6204000,,
2016-11-11,24.077053682371933,25.050339080987893,23.90253476039569,25.003353118896484,4736200,,
2016-11-14,24.936224051797534,25.802109796379803,24.936224051797534,25.50676918029785,5205800,,
2016-11-15,25.60074540377933,25.909510994655356,25.37924054442657,25.84910011291504,3526600,,
2016-11-16,25.62088450609471,26.003488508874053,25.55376243433295,25.68129539489746,2607400,,
2016-11-17,25.77526574116461,26.37937197164257,25.74170215013042,26.332386016845703,4720700,,
2016-11-18,26.312254515598806,26.500198367678568,25.842392324856466,26.372665405273438,2394400,,
2016-11-21,26.392800965124803,26.80225225766214,26.251843079001656,26.728416442871094,2177700,,
2016-11-22,26.81567715090589,26.916360257779647,26.117596343525804,26.15115737915039,4799300,,
2016-11-23,25.963214200321218,26.23841879640379,25.761845420841308,26.057186126708984,2805700,,
2016-11-25,26.11088472076524,26.339103343927995,25.808830284146477,26.224992752075195,1802300,,
2016-11-28,26.117595469700046,26.52704674803234,25.862526998509917,26.426361083984375,3177600,,
2016-11-29,26.453211396563095,27.030470418001457,26.399514252533606,26.513622283935547,3996200,,
2016-11-30,26.600885925572264,27.02375962276927,26.560611142749302,26.916362762451172,3961900,,
2016-12-01,27.33923453464365,27.500331078961256,25.52691057364845,25.580610275268555,5532700,,
2016-12-02,25.708152012387735,26.191439249976757,25.540344228285278,26.09075355529785,4144600,,
2016-12-05,25.104033381344298,26.600877784143226,25.104033381344298,26.285398483276367,3813200,,
2016-12-06,26.1981464923414,26.506914714638857,26.17801038065318,26.278696060180664,3408900,,
2016-12-07,26.688140685748735,27.08416703739853,26.11088423603493,27.03046989440918,7636400,,
2016-12-08,27.043891641765075,27.097588778443285,26.271975137743656,26.332386016845703,3584300,,
2016-12-09,26.446497968826737,26.943207391242947,24.499927372544505,26.433073043823242,4125500,,
2016-12-12,26.426364789885543,26.439789717677435,25.80211973054986,26.292118072509766,3836400,,
2016-12-13,26.325679144747795,27.82252388250009,26.231707219769888,27.41307258605957,5722100,,
2016-12-14,27.433211646671296,27.513761214354265,26.84924136395732,26.983488082885742,4504900,,
2016-12-15,27.070742117524127,27.50032946307205,26.621016104780637,27.251972198486328,2927800,,
2016-12-16,27.42649651547592,27.43320769821197,26.1847177447961,26.245128631591797,8418500,,
2016-12-19,26.2655968005815,26.668108647858254,26.149620089870986,26.408863067626953,4271300,0.63,
2016-12-20,26.524844674007557,26.811377232870527,26.265599071363283,26.442975997924805,3301300,,
2016-12-21,26.340642592889196,26.981931571716867,26.340642592889196,26.54530906677246,3136400,,
2016-12-22,26.790899927297982,27.04332173126494,26.43614362315484,26.620344161987305,3098800,,
2016-12-23,26.51801652903224,26.756796223787287,26.320173767918213,26.681751251220703,2473000,,
2016-12-27,26.62716995559783,26.961460459803135,26.606704092933697,26.865949630737305,1940000,,
2016-12-28,26.872784463005676,26.988763816534455,26.38158268801553,26.463451385498047,2592800,,
2016-12-29,26.463445555045165,26.702222697237623,25.80851173433814,25.938133239746094,2710800,,
2016-12-30,26.04728618438281,26.374753060890598,25.917664692372036,26.040462493896484,2897500,,
2017-01-03,26.238316320720834,27.35716249273641,26.19738457453446,27.029695510864258,5129300,,
2017-01-04,27.104734326354446,27.473135572767674,26.558956147858353,26.68857765197754,3842700,,
2017-01-05,26.654464327962614,26.763619952703777,26.313352675337065,26.640819549560547,2889500,,
2017-01-06,26.647640844549414,26.743151682302702,26.047283661203547,26.258773803710938,4529200,,
2017-01-09,26.258777113979722,26.429332946461475,25.93813131612188,25.95859718322754,3263400,,
2017-01-10,25.992705081654613,26.361106265467246,25.631127587806212,25.672061920166016,4266900,,
2017-01-11,25.651594774078884,25.96541946671896,24.710128503584652,25.15357208251953,6268100,,
2017-01-12,25.098990600711357,25.133101238107283,24.314432928230943,25.071701049804688,3849600,,
2017-01-13,25.071705308652415,25.50832778742746,25.071705308652415,25.174039840698242,2515300,,
2017-01-17,25.337776953670005,25.801689079252153,25.071710240978195,25.255910873413086,3291300,,
2017-01-18,25.317308467424926,25.56973037357093,25.07170764956373,25.40599822998047,2866800,,
2017-01-19,25.310484589704497,25.453753467382246,24.648729726994997,24.791996002197266,2958700,,
2017-01-20,24.805635118404016,25.276368173382846,24.778345566745127,24.880680084228516,3041400,,
2017-01-23,25.01712063978065,25.0239443283879,24.2462103855413,24.812454223632812,4955500,,
2017-01-24,25.82897942241682,25.924490286021815,24.969376445020146,25.542444229125977,8551300,,
2017-01-25,28.96038244707199,31.84618697692851,28.762537046065418,29.110469818115234,46074200,,
2017-01-26,29.07636199234847,30.556788195581028,29.07636199234847,29.949609756469727,14711900,,
2017-01-27,30.06556497649172,30.693211439147717,29.758564130761833,30.35892105102539,7679900,,
2017-01-30,30.29071853199682,30.843317793613224,30.09287313099745,30.6318302154541,6863600,,
2017-01-31,30.597718137650926,30.829674195389597,30.174740362648304,30.802387237548828,5597600,,
2017-02-01,31.11620772551981,31.14349728439075,30.051938351833318,30.54996109008789,5382100,,
2017-02-02,30.215675817998164,31.198076603357986,30.215675817998164,30.884254455566406,5447300,,
2017-02-03,30.911545237400798,31.627879334330796,30.90472154556262,31.580123901367188,5768000,,
2017-02-06,31.409576059017805,31.64835328479625,30.75464200904558,31.000240325927734,4651800,,
2017-02-07,31.027528316551635,31.6961071171892,30.795572193679302,31.45050621032715,4946800,,
2017-02-08,31.075280380323054,31.44368170055821,30.795568845139215,31.24583625793457,4852600,,
2017-02-09,31.689276079275892,31.812076494160284,31.211719199444996,31.63469696044922,3452400,,
2017-02-10,31.73020324870983,31.79160344731415,31.26629381783584,31.69609260559082,3657800,,
2017-02-13,31.9894521306446,32.80129957424084,31.77796455994012,32.61027526855469,5521600,,
2017-02-14,32.50793230707875,32.84222017435997,32.3169080661577,32.64437484741211,4105100,,
2017-02-15,32.6989738645255,33.108306939825354,32.40561753965265,32.849063873291016,5004200,,
2017-02-16,32.95138807101792,32.98549871883699,32.30327535255308,32.453365325927734,4450800,,
2017-02-17,32.34419657923453,32.39195198731653,31.982619174478046,32.159996032714844,3270800,,
2017-02-21,32.35783767700195,32.5625040601681,32.09859220367189,32.35783767700195,3217100,,
2017-02-22,32.33739313178132,32.41243552650291,32.19412422691506,32.303279876708984,2658400,,
2017-02-23,32.405611396406215,32.56934615697212,32.091789258003615,32.33056640625,4064600,,
2017-02-24,32.05085196536881,32.57616424560547,31.87347504336153,32.57616424560547,3172600,,
2017-02-27,32.21458176600827,32.61709357596491,31.989446850832056,32.53522491455078,5420600,,
2017-02-28,32.33739204921273,33.210637218330255,32.31692357635937,32.876346588134766,5592800,,
2017-03-01,33.19017220510139,33.90650631404744,32.98550308613741,33.75641632080078,4625300,,
2017-03-02,33.770049853073324,33.9678952141803,33.033247516181866,33.374359130859375,4130200,,
2017-03-03,33.44258762609097,33.872389048535425,33.25838701647192,33.40165328979492,3098600,,
2017-03-06,33.149221738332336,33.306132744740324,32.7467099905989,33.094642639160156,3474100,,
2017-03-07,33.121948602598486,33.22428316302171,32.71943665539697,32.937747955322266,2285400,,
