date,open,high,low,close,volume,div,split
2016-09-12,4.383567253836797,4.504883766174316,4.310777269303373,4.504883766174316,151100,,
2016-09-13,4.38356644089515,4.40782950747028,4.262249951056029,4.294600963592529,144400,,
2016-09-14,4.294601679313114,4.367391662478363,4.246075152421134,4.278426170349121,121700,,
2016-09-15,4.310776469860779,4.35121542835865,4.262249951056029,4.294600963592529,67400,,
2016-09-16,4.294601365014338,4.302689311731699,4.2137238261133625,4.254162788391113,101900,,
2016-09-19,4.229900043088157,4.335041054114868,4.229900043088157,4.270339012145996,329400,,
2016-09-20,4.310777506855171,4.310777506855171,4.237987518310547,4.237987518310547,177300,,
2016-09-21,4.2299000277590855,4.440181663395861,4.2299000277590855,4.39974308013916,179500,,
2016-09-22,4.415918658978778,4.529147233767963,4.407830710809396,4.440181732177734,112100,,
2016-09-23,4.343127665507492,4.496795174361874,4.343127665507492,4.464444160461426,147700,,
2016-09-26,4.48870849609375,4.642375649501153,4.4401815800492646,4.48870849609375,170100,,
2016-09-27,4.521059759007598,4.59384936567192,4.407830796366027,4.472533226013184,100000,,
2016-09-28,4.5210596012184405,4.545322674041543,4.351216548838366,4.39974308013916,94800,,
2016-09-29,4.407830240173977,4.415918187479789,4.302689624780309,4.343128204345703,79600,,
2016-09-30,4.3512163183785955,4.41591835668608,4.294601842032263,4.3188652992248535,54700,,
2016-10-03,4.262250662318365,4.3269526981885065,4.205636188104715,4.24607515335083,108600,,
2016-10-04,4.278426888785911,4.326953423826506,4.254163814092924,4.262251377105713,60400,,
2016-10-05,4.286514759063721,4.318865781832498,4.246075787775443,4.286514759063721,89100,,
2016-10-06,4.3673909346269,4.3997419471634,4.278425457324279,4.294600963592529,109000,,
2016-10-07,4.286514117658395,4.326952697241102,4.246075152421134,4.278426170349121,115700,,
2016-10-10,4.448269369326097,4.512971407538836,4.3835673311133565,4.415918350219727,134700,,
2016-10-11,4.440181428224103,4.440181428224103,4.229899803724778,4.3188652992248535,133500,,
